,recipe_id,cookTime
0,2866389,20
1,3903843,9999
2,2500915,30
3,2167745,30
4,3972003,9999
5,2813323,20
6,3306430,9999
7,1485280,20
8,2069593,20
9,2181095,30
10,1285389,20
11,4455459,20
12,419114,20
13,853593,20
14,919118,10
15,2051903,20
16,3720229,50
17,3479839,9999
18,3720803,30
19,4088121,9999
20,1196266,20
21,2445154,9999
22,468391,10
23,1415913,5
24,625120,9999
25,2412575,20
26,1269668,20
27,1491806,20
28,3969423,20
29,2990412,20
30,1936286,20
31,2185605,20
32,4205067,9999
33,1623350,20
34,2619848,20
35,3550973,20
36,3645227,20
37,2167895,30
38,3928093,9999
39,4136752,9999
40,102203,30
41,597693,20
42,4222590,9999
43,271282,20
44,3470823,20
45,2764934,10
46,1421774,30
47,2808168,30
48,3591742,10
49,3399781,50
50,2826485,10
51,3255222,20
52,653821,50
53,3006127,9999
54,972401,20
55,4126093,40
56,2577469,20
57,764099,20
58,2207500,40
59,2604811,10
60,1220083,20
61,3131835,9999
62,3554208,30
63,2099006,10
64,128484,20
65,2273568,20
66,299370,30
67,4465684,30
68,2384661,10
69,1324822,20
70,3449888,9999
71,1531380,20
72,2781718,30
73,2381526,10
74,2100156,20
75,1209182,20
76,766698,20
77,3524366,20
78,1118396,20
79,492823,10
80,3333400,9999
81,2837502,30
82,762321,30
83,3518136,5
84,2241663,5
85,1917349,20
86,705820,10
87,2596485,10
88,3847594,9999
89,2985128,9999
90,888069,5
91,1914565,20
92,3164183,9999
93,3313366,9999
94,2094858,10
95,1662172,10
96,3211193,5
97,3510910,30
98,250875,10
99,3367477,9999
100,1129961,30
101,1374729,5
102,3400058,20
103,2294846,10
104,1028141,10
105,796966,20
106,3672400,10
107,517045,20
108,410548,20
109,2144658,20
110,1675434,9999
111,2370876,50
112,4229149,9999
113,2701658,20
114,966268,90
115,2446386,20
116,2577613,20
117,2753581,20
118,283784,90
119,1280037,9999
120,1013883,20
121,469200,20
122,3588934,10
123,2030010,20
124,590547,10
125,1532781,20
126,2223858,5
127,2234364,20
128,2733007,20
129,1953810,20
130,1882282,10
131,2813270,20
132,2110681,20
133,2516992,30
134,2135035,10
135,445380,20
136,2319797,10
137,250658,20
138,1983964,20
139,3969435,10
140,2858808,30
141,2981350,10
142,2927334,10
143,839459,20
144,3820738,20
145,4141696,30
146,3716474,9999
147,2818200,20
148,1038053,30
149,280405,10
150,2071766,20
151,2408882,30
152,3625563,30
153,288465,20
154,2979888,20
155,3798880,10
156,1457824,10
157,964445,20
158,4305554,9999
159,1238173,10
160,4070051,20
161,2874336,9999
162,1372901,10
163,1485202,5
164,2092109,10
165,3967283,30
166,472572,20
167,2686106,30
168,635321,10
169,2459726,20
170,269688,20
171,2320897,40
172,2783436,30
173,286379,10
174,2386959,9999
175,3741612,20
176,3482373,10
177,2280346,9999
178,4304083,20
179,4476587,9999
180,470373,30
181,2374819,30
182,3182805,20
183,1387238,40
184,3511442,9999
185,801918,50
186,2691440,10
187,3112400,9999
188,1583688,10
189,1378663,10
190,709205,20
191,2337981,10
192,1342637,60
193,1844259,30
194,1498349,40
195,317160,20
196,883465,9999
197,4447665,9999
198,4483494,20
199,2500217,20
200,3173955,10
201,2730596,20
202,2676997,20
203,1168041,10
204,1517772,20
205,3164639,10
206,1531640,10
207,1645807,50
208,255972,10
209,4468608,9999
210,904710,50
211,1745548,90
212,655561,30
213,3580094,30
214,2210752,60
215,2462564,90
216,3043556,9999
217,991852,20
218,4509995,20
219,1177025,60
220,676714,5
221,1634786,20
222,1267420,20
223,3726328,10
224,1774700,40
225,1015582,20
226,803708,20
227,1497004,20
228,1891601,30
229,368085,5
230,3816763,20
231,4145246,9999
232,1221169,10
233,456646,50
234,1961367,30
235,2169018,30
236,1231493,10
237,1369863,30
238,3735292,9999
239,1385747,20
240,1571009,10
241,2277116,10
242,2432053,9999
243,3758608,10
244,1987008,10
245,4293933,20
246,4083307,9999
247,656967,20
248,567296,20
249,2162341,20
250,1463356,10
251,2604169,10
252,2774559,40
253,2912739,20
254,2281453,40
255,2438761,20
256,2702760,20
257,486661,10
258,1520786,10
259,2542619,30
260,2613643,9999
261,2154459,10
262,2334895,10
263,439074,9999
264,2409529,9999
265,407825,10
266,3441606,50
267,1874138,20
268,3449666,9999
269,3644363,60
270,1682577,10
271,3648593,20
272,4221847,20
273,3600247,10
274,933619,20
275,1947243,40
276,1995166,20
277,2263006,9999
278,2662079,20
279,2410071,20
280,1429446,20
281,2357791,20
282,2050001,20
283,1882191,20
284,3646077,20
285,258317,30
286,1941397,20
287,3779513,10
288,2576080,20
289,3842597,9999
290,2618263,20
291,2414177,20
292,4487212,9999
293,4439646,9999
294,242171,10
295,3809341,9999
296,2068746,9999
297,1178684,5
298,3970100,10
299,3558657,20
300,2630898,9999
301,1147082,20
302,3740916,9999
303,2730216,120
304,1668050,30
305,4036298,9999
306,2326056,10
307,524573,30
308,546565,10
309,3623989,9999
310,2990193,20
311,3846995,9999
312,1370245,30
313,1877939,30
314,3807563,10
315,2694654,20
316,1683331,40
317,2715271,10
318,2051217,20
319,500305,20
320,2548490,10
321,903352,20
322,1667576,30
323,4179692,30
324,3138442,20
325,2194829,10
326,1886490,10
327,2175996,10
328,1400269,30
329,4461311,9999
330,259947,20
331,3900081,50
332,2393472,20
333,1458933,30
334,3116834,30
335,4504807,20
336,4498313,10
337,2552455,9999
338,3189394,20
339,2560877,20
340,2783284,10
341,873345,20
342,675227,20
343,3498965,5
344,1825394,30
345,1613210,40
346,4326039,20
347,3886603,10
348,4073309,10
349,1343381,20
350,1499305,20
351,363186,20
352,1367324,30
353,3375112,9999
354,1333083,20
355,4117280,9999
356,1340954,10
357,1474333,9999
358,856772,10
359,433459,20
360,1932949,20
361,2223907,30
362,4147471,9999
363,3255279,20
364,4413370,10
365,2267659,10
366,582075,10
367,1609888,10
368,360745,60
369,1587995,10
370,775329,20
371,1940230,60
372,2620945,9999
373,3416342,20
374,3317915,20
375,297698,30
376,3792486,5
377,1106691,20
378,2392243,50
379,2322609,9999
380,4419403,20
381,2643616,40
382,4377124,30
383,1965345,30
384,1977378,9999
385,2656101,9999
386,3903662,20
387,340598,30
388,2670463,10
389,3540181,20
390,1517601,20
391,2611520,10
392,1742983,20
393,2113776,30
394,3872290,9999
395,3864714,60
396,3332837,10
397,941228,20
398,1710420,20
399,4201706,30
400,1981781,30
401,2161330,10
402,4463863,9999
403,950593,20
404,4096308,9999
405,1441180,20
406,4333450,9999
407,3478009,20
408,1396673,10
409,3970570,30
410,1204883,20
411,678842,30
412,2728186,9999
413,1240548,40
414,2150247,20
415,2272363,20
416,1534198,5
417,475014,20
418,784404,20
419,1739167,20
420,2389419,9999
421,2640186,10
422,2392740,40
423,2646547,9999
424,4151622,20
425,416886,9999
426,1042357,20
427,2972636,10
428,415253,50
429,1519259,40
430,3005204,50
431,4352440,9999
432,2304812,40
433,3463716,30
434,2219011,30
435,1509873,10
436,2088031,10
437,2921487,30
438,1928406,20
439,4337110,9999
440,3361813,5
441,749207,50
442,187008,20
443,2503362,20
444,715590,10
445,3676766,9999
446,512532,20
447,1105382,20
448,3351637,20
449,4485537,30
450,2066040,10
451,755859,30
452,1431105,30
453,426071,20
454,347709,40
455,2689142,10
456,1516114,10
457,1753795,10
458,2065379,20
459,433336,20
460,2178783,20
461,893557,20
462,599910,20
463,660930,10
464,2844061,10
465,1873331,30
466,3813238,30
467,336426,5
468,3969205,10
469,1182403,20
470,2369476,9999
471,1720487,5
472,1574102,20
473,307394,30
474,1217217,10
475,678395,30
476,871552,10
477,2493551,20
478,1958616,20
479,1996510,30
480,3544402,10
481,1045144,20
482,3261874,20
483,1610001,9999
484,2351258,40
485,2064143,20
486,2389570,10
487,2783343,30
488,270763,10
489,3304600,9999
490,3525054,9999
491,1145363,60
492,527083,20
493,4327079,10
494,2260958,20
495,1912887,20
496,2651168,20
497,1497399,20
498,2466985,30
499,2210359,10
500,3813306,9999
501,2427123,10
502,3835234,9999
503,3785050,50
504,1375231,10
505,2907576,20
506,599711,10
507,2462180,10
508,3986625,9999
509,608687,5
510,3553390,20
511,3257911,20
512,2724998,9999
513,1904791,10
514,4002159,20
515,4314488,9999
516,1211479,20
517,2528225,20
518,337974,30
519,803991,30
520,2327466,20
521,4132662,9999
522,2581858,20
523,3493755,9999
524,935692,20
525,451160,30
526,2429613,30
527,332275,10
528,2067554,30
529,3527317,20
530,543546,20
531,880838,20
532,1123731,10
533,1438888,30
534,466090,30
535,2229433,30
536,2792293,20
537,1333406,20
538,867500,10
539,1104012,9999
540,2095678,9999
541,1883519,20
542,2862606,10
543,3278478,10
544,2142597,20
545,2653417,10
546,3468822,9999
547,4042194,5
548,401512,10
549,2799430,9999
550,989097,10
551,4408443,9999
552,1489000,20
553,3218445,9999
554,1855110,20
555,824318,10
556,2291633,9999
557,2455898,20
558,1338899,20
559,521403,10
560,1312121,10
561,30492,30
562,3566162,9999
563,2857227,50
564,1288348,30
565,2014650,20
566,1639287,10
567,1103542,30
568,1258545,40
569,2492403,9999
570,3740672,30
571,1873864,60
572,1164185,10
573,2227712,20
574,2631552,9999
575,1326491,20
576,1304333,20
577,4287340,9999
578,4082275,20
579,1191350,9999
580,3511663,20
581,2703468,10
582,2252491,10
583,1820786,20
584,3465355,5
585,2285559,40
586,1407261,50
587,1056953,40
588,2498632,20
589,1614957,30
590,3523179,40
591,2483750,9999
592,759401,30
593,3411690,30
594,1120330,10
595,1139111,5
596,518369,50
597,2444677,5
598,3522338,30
599,1867523,20
600,1042678,10
601,3476742,9999
602,2420189,30
603,854558,20
604,3234438,5
605,2280833,5
606,477013,10
607,2093978,10
608,2683488,10
609,1988563,30
610,2471305,20
611,449792,10
612,1991742,20
613,4040107,20
614,4389591,9999
615,1521123,5
616,3514965,20
617,2763697,9999
618,2534928,9999
619,2524181,20
620,3138337,10
621,2858306,20
622,4073688,30
623,2314828,20
624,3439495,9999
625,333219,9999
626,4442241,9999
627,1247521,30
628,4048166,20
629,3925842,20
630,821770,30
631,1119660,9999
632,665932,20
633,2543814,20
634,1325068,20
635,3521779,9999
636,2437564,10
637,2769761,20
638,820161,10
639,3177777,9999
640,1318346,9999
641,3752926,30
642,2613249,5
643,3624191,9999
644,4251836,20
645,1210101,20
646,731918,9999
647,2570362,20
648,2316547,20
649,2377054,30
650,3926628,20
651,1999666,30
652,2821674,40
653,1210382,20
654,4115044,90
655,3651212,9999
656,1410321,30
657,3430066,20
658,2199200,20
659,2567274,10
660,246353,20
661,2180021,20
662,2268610,20
663,1931535,50
664,1598525,40
665,3484896,10
666,2382794,9999
667,3763847,20
668,3644155,20
669,877669,10
670,3837567,20
671,2304346,10
672,2493244,20
673,646478,20
674,1206313,20
675,1668231,10
676,2718858,20
677,2635793,20
678,2830874,60
679,923881,20
680,2480346,9999
681,3293098,10
682,3178969,9999
683,4195796,20
684,4074818,9999
685,3027319,20
686,2699745,30
687,4140726,10
688,4031854,20
689,2555978,9999
690,477679,60
691,3862710,9999
692,2164518,20
693,2213470,40
694,2083611,10
695,1595710,10
696,1500917,20
697,3943513,30
698,918051,30
699,26402,30
700,3044908,20
701,2007138,10
702,2843770,20
703,1250524,20
704,460780,20
705,1579971,40
706,3133604,9999
707,3652613,10
708,287477,10
709,4400137,9999
710,2161219,5
711,2059057,20
712,2277232,10
713,2841188,9999
714,2880481,120
715,2742535,30
716,2276835,50
717,3345435,20
718,1438866,10
719,1071334,20
720,1374860,20
721,2318518,10
722,258025,50
723,1016823,10
724,3961862,9999
725,1099229,20
726,3445127,20
727,290074,20
728,513565,30
729,3539534,10
730,1484625,9999
731,2689883,30
732,4453693,30
733,1935864,20
734,1029233,10
735,3434121,20
736,676575,10
737,2472210,20
738,3216159,9999
739,973159,30
740,2492414,20
741,3147103,10
742,329592,20
743,514131,20
744,798373,30
745,2260959,9999
746,1965811,9999
747,1268760,30
748,4341304,9999
749,579952,20
750,3024962,20
751,2241707,30
752,3546347,5
753,2585322,20
754,410705,20
755,588101,20
756,1943535,20
757,2436226,5
758,4329089,60
759,2300485,30
760,1943866,30
761,311685,40
762,2408724,30
763,4203700,9999
764,2493897,10
765,3476610,10
766,2543697,10
767,2848468,20
768,1726250,9999
769,1444839,20
770,1866630,10
771,1106215,10
772,4115052,9999
773,4503642,9999
774,1785466,20
775,3985264,20
776,2810703,50
777,2019537,120
778,2236840,10
779,4350796,9999
780,3349787,10
781,2034249,30
782,688292,20
783,4375572,9999
784,3250294,10
785,1915569,20
786,826037,20
787,1577390,10
788,1507092,20
789,2736658,20
790,3814006,9999
791,4216980,10
792,2855108,9999
793,4180054,5
794,1325140,50
795,2490393,30
796,390013,20
797,925129,40
798,445677,20
799,444965,10
800,843072,20
801,865510,9999
802,4260740,9999
803,4370588,9999
804,1121721,20
805,2731172,10
806,2684321,20
807,1811633,5
808,690323,30
809,2850166,10
810,238167,20
811,3456232,20
812,4012898,30
813,4386521,20
814,2680677,10
815,4161368,30
816,2492984,9999
817,2064139,10
818,361285,20
819,2976623,9999
820,1239082,20
821,3169246,20
822,3886993,20
823,1892688,20
824,3199911,20
825,89446,20
826,459746,40
827,541917,30
828,672721,50
829,4080361,30
830,2274170,30
831,357163,20
832,3870740,10
833,2483854,20
834,3792242,9999
835,1742428,30
836,2241402,40
837,1366349,20
838,2412539,10
839,893014,9999
840,3223329,20
841,2553711,10
842,1099602,10
843,4026885,9999
844,2374992,10
845,1571090,30
846,1371463,30
847,257578,30
848,779576,30
849,1123527,20
850,651954,20
851,388462,30
852,899663,10
853,853875,10
854,338028,40
855,2007285,20
856,2291833,10
857,1418414,40
858,474868,30
859,970962,30
860,2092094,10
861,2892982,20
862,1059760,20
863,1283342,30
864,2473745,20
865,1183747,20
866,2024859,10
867,1825004,10
868,434775,30
869,1094533,20
870,1552359,30
871,1418382,5
872,1824496,40
873,2553642,9999
874,1365573,20
875,1265611,30
876,2087445,20
877,2604666,20
878,2768625,20
879,3487280,90
880,578800,10
881,4192244,10
882,2589854,30
883,2025527,20
884,4021205,9999
885,709662,20
886,2983634,10
887,1011372,20
888,2183271,10
889,1222375,20
890,2932896,20
891,2339802,20
892,377740,10
893,3489621,10
894,2484796,5
895,3893729,9999
896,2586099,20
897,1757954,20
898,1442200,30
899,550214,40
900,2074656,10
901,2571508,20
902,2358279,9999
903,2084814,20
904,1359332,10
905,2655147,30
906,2379174,9999
907,3945668,9999
908,4424452,30
909,1475935,9999
910,2061141,40
911,1291328,20
912,1518234,10
913,1753852,10
914,277619,20
915,2412128,5
916,354831,20
917,387406,10
918,765451,10
919,216920,30
920,325421,10
921,1264407,10
922,1370376,40
923,2541782,20
924,4030506,9999
925,2100049,20
926,647642,20
927,2050866,10
928,251052,20
929,470256,10
930,2326759,50
931,1472966,20
932,2815429,10
933,1034968,10
934,3897013,20
935,4437435,9999
936,2087520,10
937,2929653,10
938,1384403,10
939,1572720,10
940,383824,10
941,1602477,30
942,1715480,20
943,2642163,10
944,2472318,30
945,1872393,20
946,3962215,20
947,2319578,20
948,1641150,10
949,4134650,9999
950,1894506,20
951,1137047,10
952,4030571,10
953,3012630,20
954,4324567,30
955,1173499,10
956,2804473,10
957,4510218,9999
958,2789493,20
959,3912394,20
960,1040832,120
961,2878752,20
962,2149378,40
963,1087915,20
964,1465942,10
965,2431146,20
966,3428636,9999
967,3826116,10
968,1097503,120
969,959793,20
970,845128,20
971,4216148,9999
972,4274627,9999
973,3737083,5
974,2386299,50
975,4524985,9999
976,3086267,10
977,2809580,60
978,1440837,20
979,4443373,9999
980,1001755,30
981,2319939,20
982,4038053,20
983,2150732,20
984,2058060,30
985,360158,20
986,2830252,30
987,1900376,10
988,2216042,10
989,3093989,20
990,4470385,9999
991,2267678,20
992,2832146,9999
993,4243016,9999
994,384573,10
995,3463263,20
996,2190703,60
997,1488535,20
998,2417865,9999
999,2102238,20
1000,389654,30
1001,1307457,9999
1002,1066111,9999
1003,1056732,10
1004,1245229,10
1005,1127840,10
1006,2774688,10
1007,535908,20
1008,4408767,9999
1009,2104529,10
1010,3893436,9999
1011,51030,10
1012,3855300,9999
1013,2113346,30
1014,4503619,9999
1015,1379474,20
1016,2354450,10
1017,3740669,40
1018,3978659,9999
1019,2779405,30
1020,2204593,20
1021,2404530,20
1022,493862,20
1023,353012,50
1024,3444805,9999
1025,4507965,20
1026,2379841,10
1027,2776820,20
1028,3242071,9999
1029,3947663,9999
1030,152534,20
1031,3981155,9999
1032,1909792,20
1033,4151592,9999
1034,1515963,20
1035,1653655,10
1036,2352642,20
1037,434201,10
1038,2351982,40
1039,3866749,20
1040,2218226,9999
1041,3620035,9999
1042,4294961,30
1043,178130,20
1044,1082740,30
1045,2445303,10
1046,1710440,20
1047,3466562,9999
1048,2820182,9999
1049,1573127,20
1050,2366126,20
1051,196454,20
1052,3379278,10
1053,923659,20
1054,3231271,20
1055,3455193,9999
1056,1070342,20
1057,2320603,10
1058,169849,10
1059,626330,20
1060,466249,20
1061,2404834,20
1062,3182941,9999
1063,2495670,20
1064,2696042,20
1065,2731105,10
1066,4370455,10
1067,2454953,10
1068,3179773,9999
1069,1003816,20
1070,2156131,20
1071,3023602,20
1072,2178063,20
1073,3247674,50
1074,3690097,20
1075,150948,20
1076,2304999,10
1077,1522651,20
1078,795408,30
1079,1271058,9999
1080,3094098,20
1081,4170627,20
1082,1943493,90
1083,3789992,9999
1084,3299437,9999
1085,2452686,9999
1086,2725644,9999
1087,1051464,20
1088,3660892,30
1089,2248678,9999
1090,2086219,20
1091,4524950,20
1092,1715052,20
1093,2928490,10
1094,3113284,20
1095,2015975,20
1096,2077349,9999
1097,1650393,30
1098,4294737,9999
1099,4435936,9999
1100,1176530,50
1101,486089,10
1102,2137635,20
1103,4066669,9999
1104,191240,30
1105,2464022,10
1106,2348776,5
1107,1004214,20
1108,1382739,20
1109,4496879,20
1110,2892023,10
1111,4177033,20
1112,1428846,10
1113,3698960,20
1114,3736610,9999
1115,3240963,20
1116,1616635,20
1117,1424023,20
1118,2432707,40
1119,3792219,10
1120,1371204,30
1121,295344,20
1122,1652316,30
1123,1627216,20
1124,2015867,20
1125,3448277,9999
1126,2352843,10
1127,2204012,40
1128,2274310,10
1129,1955357,10
1130,998166,20
1131,453828,20
1132,1611324,20
1133,4529289,50
1134,428520,10
1135,1407128,20
1136,1884880,10
1137,1137092,40
1138,2108988,20
1139,2900154,9999
1140,4267748,9999
1141,1080585,30
1142,2372149,9999
1143,1944950,10
1144,2819914,60
1145,2550832,40
1146,2588530,20
1147,1692632,30
1148,3808584,20
1149,2628085,20
1150,1616377,20
1151,2265297,50
1152,396466,20
1153,2070208,60
1154,2007765,10
1155,3535219,9999
1156,3254561,9999
1157,1716853,20
1158,1995736,20
1159,1367387,30
1160,4209638,9999
1161,2833690,30
1162,1315112,30
1163,2103852,20
1164,1603933,20
1165,318191,10
1166,2856505,10
1167,1021377,10
1168,4216758,9999
1169,1306051,10
1170,3925618,20
1171,718839,90
1172,2753129,10
1173,2607416,10
1174,2361266,20
1175,488890,30
1176,1924347,40
1177,424515,20
1178,4417386,9999
1179,1050058,60
1180,2313335,40
1181,839225,10
1182,1868862,20
1183,1807196,30
1184,3238206,20
1185,3671954,9999
1186,4094768,9999
1187,1370141,30
1188,4478371,10
1189,1638233,30
1190,859062,20
1191,4003817,9999
1192,2206310,20
1193,2518165,10
1194,291192,20
1195,2325342,10
1196,4064183,10
1197,410676,20
1198,348633,20
1199,1373628,9999
1200,2021354,20
1201,3137149,20
1202,529229,30
1203,4373243,9999
1204,2161782,50
1205,3388938,20
1206,4230810,9999
1207,3540134,10
1208,3818603,20
1209,2340096,10
1210,1306006,20
1211,2459176,10
1212,2521875,10
1213,1340236,20
1214,1769365,60
1215,106580,40
1216,422183,10
1217,3596252,60
1218,4520905,9999
1219,3023815,20
1220,3606644,20
1221,3320780,20
1222,3185705,9999
1223,535898,20
1224,128597,20
1225,2424153,9999
1226,105343,20
1227,1948461,10
1228,2486174,20
1229,3321191,30
1230,1992374,10
1231,434811,40
1232,3627660,9999
1233,2297816,9999
1234,1471995,20
1235,851540,20
1236,2790276,20
1237,2197140,20
1238,4218087,20
1239,240589,20
1240,1629926,20
1241,556289,30
1242,2863866,20
1243,1388637,30
1244,2337282,30
1245,210728,20
1246,2961390,20
1247,2460562,30
1248,3780232,9999
1249,1517715,20
1250,2167870,10
1251,1655533,20
1252,1975601,30
1253,1699608,20
1254,638348,5
1255,3497680,20
1256,3107370,10
1257,2620693,10
1258,1882508,30
1259,2646445,30
1260,301483,10
1261,3761806,9999
1262,639559,9999
1263,1177279,5
1264,381886,20
1265,3422498,9999
1266,1119165,20
1267,1492689,20
1268,2230911,10
1269,2948760,20
1270,510374,10
1271,258761,10
1272,4082033,40
1273,442265,90
1274,2584220,20
1275,2364487,20
1276,279315,10
1277,4430103,9999
1278,2086592,20
1279,2839668,20
1280,1977450,30
1281,2237104,9999
1282,4015073,20
1283,1973940,20
1284,1004209,10
1285,643939,20
1286,3868336,9999
1287,2259218,20
1288,4099413,9999
1289,1673682,40
1290,2226650,30
1291,3027277,10
1292,2062290,10
1293,890107,20
1294,1590305,20
1295,942140,20
1296,1022803,20
1297,395938,20
1298,2231341,20
